,Project Type,Project Resource Category,Project Subject Category Tree,Project Subject Subcategory Tree,projtype_id
3595203,Teacher-Led,Sports & Exercise Equipment,Health & Sports,Health & Wellness,960
3596217,Teacher-Led,Other,Literacy & Language,Literature & Writing,961
3596778,Teacher-Led,Supplies,"Applied Learning, Music & The Arts","Character Education, Visual Arts",962
3598255,Teacher-Led,Trips,Applied Learning,"College & Career Prep, Extracurricular",963
3610054,Teacher-Led,Flexible Seating,"Health & Sports, Special Needs","Health & Wellness, Special Needs",964
3612568,Teacher-Led,Supplies,"Math & Science, Special Needs","Applied Sciences, Special Needs",965
3616594,Teacher-Led,Books,Literacy & Language,Foreign Languages,966
3617198,Teacher-Led,Supplies,"Applied Learning, Literacy & Language","Early Development, Literacy",967
3621258,Teacher-Led,Supplies,"Math & Science, Music & The Arts","Mathematics, Visual Arts",968
3623892,Teacher-Led,"Reading Nooks, Desks & Storage",Literacy & Language,Literacy,969
3624928,Teacher-Led,Books,Applied Learning,Other,970
3625616,Teacher-Led,Other,"Applied Learning, Music & The Arts","Character Education, Visual Arts",971
3626099,Teacher-Led,Books,"Math & Science, Literacy & Language","Health & Life Science, Literacy",972
3626646,Teacher-Led,Other,"Literacy & Language, History & Civics","Literacy, Social Sciences",973
3629815,Teacher-Led,Technology,"Math & Science, Music & The Arts","Environmental Science, Visual Arts",974
3629933,Teacher-Led,Books,Literacy & Language,ESL,975
3634953,Teacher-Led,Trips,Music & The Arts,Visual Arts,976
3635051,Teacher-Led,Technology,"Math & Science, History & Civics","Environmental Science, History & Geography",977
3638031,Teacher-Led,Other,"Applied Learning, Math & Science","Extracurricular, Mathematics",978
3638712,Teacher-Led,Technology,"Math & Science, Literacy & Language","Health & Life Science, Literature & Writing",979
3639192,Teacher-Led,Flexible Seating,Applied Learning,Other,980
3640081,Teacher-Led,Technology,"Applied Learning, Special Needs","Other, Special Needs",981
3640328,Teacher-Led,Other,"History & Civics, Math & Science","Economics, Mathematics",982
3640664,Teacher-Led,Technology,"Applied Learning, Music & The Arts","Extracurricular, Visual Arts",983
3641754,Teacher-Led,Classroom Basics,Applied Learning,Other,984
3645543,Teacher-Led,Books,"Applied Learning, Literacy & Language","Character Education, ESL",985
3645544,Teacher-Led,Supplies,"Literacy & Language, History & Civics","Foreign Languages, History & Geography",986
3647919,Teacher-Led,Books,"History & Civics, Literacy & Language","Financial Literacy, Literacy",987
3650391,Teacher-Led,Instructional Technology,"Literacy & Language, Music & The Arts","ESL, Visual Arts",988
3651457,Teacher-Led,Other,Math & Science,"Applied Sciences, Mathematics",989
3652496,Teacher-Led,Technology,"Applied Learning, Special Needs","Community Service, Special Needs",990
3657266,Teacher-Led,Supplies,Health & Sports,"Gym & Fitness, Health & Wellness",991
3658075,Teacher-Led,Technology,Applied Learning,Early Development,992
3658505,Teacher-Led,Supplies,"History & Civics, Literacy & Language","History & Geography, Literature & Writing",993
3662065,Teacher-Led,Supplies,History & Civics,"Civics & Government, Social Sciences",994
3663368,Teacher-Led,Books,"Math & Science, Literacy & Language","Environmental Science, Foreign Languages",995
3665324,Teacher-Led,Technology,"Math & Science, Music & The Arts","Mathematics, Visual Arts",996
3665402,Professional Development,Trips,"Applied Learning, Special Needs","Early Development, Special Needs",997
3665649,Professional Development,Technology,Literacy & Language,"Foreign Languages, Literacy",998
3666075,Teacher-Led,"Reading Nooks, Desks & Storage","Health & Sports, Math & Science","Health & Wellness, Mathematics",999
3666436,Teacher-Led,Trips,"History & Civics, Literacy & Language","History & Geography, Literature & Writing",1000
3667193,Teacher-Led,Supplies,"Applied Learning, Health & Sports","Character Education, Health & Wellness",1001
3668876,Teacher-Led,Instructional Technology,Literacy & Language,"ESL, Literacy",1002
3669477,Teacher-Led,Technology,Math & Science,Health & Life Science,1003
3676015,Teacher-Led,Supplies,"Math & Science, Music & The Arts","Mathematics, Music",1004
3676357,Teacher-Led,Supplies,"Applied Learning, Math & Science","Character Education, Environmental Science",1005
3676941,Teacher-Led,Other,Special Needs,Special Needs,1006
3677202,Teacher-Led,Technology,"Literacy & Language, Math & Science","ESL, Environmental Science",1007
3677239,Teacher-Led,"Reading Nooks, Desks & Storage",Health & Sports,"Gym & Fitness, Health & Wellness",1008
3683604,Teacher-Led,Books,"Literacy & Language, Applied Learning","Literature & Writing, Other",1009
3683607,Teacher-Led,Instructional Technology,"Health & Sports, Music & The Arts","Gym & Fitness, Performing Arts",1010
3683616,Teacher-Led,Art Supplies,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",1011
3683619,Teacher-Led,Classroom Basics,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",1012
3683629,Teacher-Led,Technology,"Applied Learning, History & Civics","Character Education, Social Sciences",1013
3685006,Teacher-Led,Technology,Health & Sports,"Gym & Fitness, Health & Wellness",1014
3685115,Teacher-Led,Technology,"Math & Science, Literacy & Language","Applied Sciences, Literacy",1015
3685254,Professional Development,Technology,Literacy & Language,"Literacy, Literature & Writing",1016
3688601,Teacher-Led,Other,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",1017
3690840,Teacher-Led,Technology,"Health & Sports, Math & Science","Health & Wellness, Mathematics",1018
3691205,Teacher-Led,Supplies,Applied Learning,Character Education,1019
3691489,Teacher-Led,Computers & Tablets,Math & Science,Applied Sciences,1020
3693512,Teacher-Led,Technology,Applied Learning,Character Education,1021
3694834,Teacher-Led,Educational Kits & Games,"History & Civics, Math & Science","Financial Literacy, Mathematics",1022
3694961,Teacher-Led,Supplies,"Applied Learning, Literacy & Language","Character Education, Literacy",1023
3695054,Teacher-Led,Supplies,"Math & Science, Applied Learning","Applied Sciences, College & Career Prep",1024
3696719,Teacher-Led,Supplies,Music & The Arts,Performing Arts,1025
3701580,Teacher-Led,Books,"History & Civics, Literacy & Language","Civics & Government, Literature & Writing",1026
3703560,Teacher-Led,Technology,Applied Learning,Extracurricular,1027
3704269,Teacher-Led,Instructional Technology,"Applied Learning, Literacy & Language","College & Career Prep, Literature & Writing",1028
3708626,Teacher-Led,Books,"Applied Learning, Math & Science","Early Development, Mathematics",1029
3709229,Teacher-Led,Educational Kits & Games,"Literacy & Language, Math & Science","Literacy, Mathematics",1030
3709384,Teacher-Led,Technology,"Applied Learning, Literacy & Language","College & Career Prep, Literature & Writing",1031
3709721,Teacher-Led,Computers & Tablets,History & Civics,"History & Geography, Social Sciences",1032
3709722,Teacher-Led,Instructional Technology,Special Needs,Special Needs,1033
3710032,Teacher-Led,Technology,Applied Learning,"Character Education, Community Service",1034
3712495,Teacher-Led,Technology,"Literacy & Language, Special Needs","ESL, Special Needs",1035
3712564,Teacher-Led,Books,Math & Science,Mathematics,1036
3713297,Teacher-Led,Trips,"Math & Science, History & Civics","Environmental Science, Social Sciences",1037
3717634,Teacher-Led,Books,"Applied Learning, Literacy & Language","Character Education, Literature & Writing",1038
3720314,Teacher-Led,Educational Kits & Games,Special Needs,Special Needs,1039
3722375,Teacher-Led,Educational Kits & Games,"Math & Science, Music & The Arts","Applied Sciences, Music",1040
3726528,Student-Led,Technology,"Math & Science, Music & The Arts","Environmental Science, Performing Arts",1041
3726606,Teacher-Led,Books,Math & Science,Environmental Science,1042
3728194,Teacher-Led,Educational Kits & Games,Applied Learning,"Character Education, Early Development",1043
3729051,Teacher-Led,Instructional Technology,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",1044
3730769,Teacher-Led,Technology,"Math & Science, Special Needs","Applied Sciences, Special Needs",1045
3731950,Teacher-Led,Trips,"Math & Science, History & Civics","Applied Sciences, History & Geography",1046
3734287,Teacher-Led,Trips,Literacy & Language,Literature & Writing,1047
3736686,Teacher-Led,Technology,"Applied Learning, Music & The Arts","Extracurricular, Performing Arts",1048
3736687,Teacher-Led,Other,"History & Civics, Music & The Arts","History & Geography, Music",1049
3737111,Teacher-Led,Books,"Math & Science, Literacy & Language","Environmental Science, Literacy",1050
3738049,Teacher-Led,Trips,Math & Science,"Environmental Science, Health & Life Science",1051
3741111,Teacher-Led,Instructional Technology,"Applied Learning, Music & The Arts","Other, Visual Arts",1052
3746186,Teacher-Led,Other,Music & The Arts,Performing Arts,1053
3751773,Teacher-Led,Computers & Tablets,"Applied Learning, Literacy & Language","Early Development, Literacy",1054
3758427,Teacher-Led,Supplies,"Literacy & Language, Music & The Arts","Literature & Writing, Performing Arts",1055
3759540,Teacher-Led,Technology,"Math & Science, Health & Sports","Health & Life Science, Health & Wellness",1056
3760260,Teacher-Led,Art Supplies,"Literacy & Language, Special Needs","Literacy, Special Needs",1057
3760406,Teacher-Led,"Food, Clothing & Hygiene","Applied Learning, Health & Sports","Extracurricular, Health & Wellness",1058
3760408,Teacher-Led,Other,Health & Sports,Health & Wellness,1059
3762289,Teacher-Led,Technology,"Math & Science, Applied Learning","Applied Sciences, Other",1060
3762331,Teacher-Led,Books,Literacy & Language,"ESL, Foreign Languages",1061
3763025,Teacher-Led,Technology,Literacy & Language,Literature & Writing,1062
3763085,Teacher-Led,"Reading Nooks, Desks & Storage","Health & Sports, Special Needs","Health & Wellness, Special Needs",1063
3764142,Teacher-Led,Other,"Literacy & Language, Special Needs","Literacy, Special Needs",1064
3764235,Teacher-Led,Supplies,"Applied Learning, Health & Sports","Extracurricular, Team Sports",1065
3765554,Teacher-Led,Supplies,Health & Sports,"Gym & Fitness, Team Sports",1066
3765747,Teacher-Led,Supplies,Math & Science,"Health & Life Science, Mathematics",1067
3766399,Teacher-Led,Technology,"Literacy & Language, Math & Science","ESL, Mathematics",1068
3766403,Teacher-Led,Technology,Literacy & Language,ESL,1069
3770277,Teacher-Led,Supplies,"Health & Sports, Literacy & Language","Health & Wellness, Literacy",1070
3771309,Teacher-Led,Books,"Applied Learning, Literacy & Language","Character Education, Literacy",1071
3772569,Teacher-Led,Technology,Literacy & Language,Foreign Languages,1072
3772583,Teacher-Led,Supplies,"Math & Science, Special Needs","Mathematics, Special Needs",1073
3772758,Teacher-Led,Classroom Basics,"Math & Science, Music & The Arts","Applied Sciences, Visual Arts",1074
3773100,Teacher-Led,Instructional Technology,"Math & Science, Music & The Arts","Applied Sciences, Music",1075
3773102,Teacher-Led,Computers & Tablets,"Math & Science, Music & The Arts","Applied Sciences, Music",1076
3774596,Teacher-Led,Art Supplies,"Literacy & Language, Music & The Arts","ESL, Visual Arts",1077
3775764,Teacher-Led,Supplies,Applied Learning,College & Career Prep,1078
3775769,Teacher-Led,Instructional Technology,"Literacy & Language, History & Civics","Literature & Writing, Social Sciences",1079
3776083,Professional Development,Trips,Literacy & Language,"ESL, Literature & Writing",1080
3779753,Teacher-Led,Books,Literacy & Language,"Foreign Languages, Literacy",1081
3779827,Teacher-Led,Technology,Math & Science,Environmental Science,1082
3780552,Teacher-Led,Supplies,"Literacy & Language, Applied Learning","Literature & Writing, Other",1083
3782692,Teacher-Led,Computers & Tablets,History & Civics,"Civics & Government, History & Geography",1084
3787066,Teacher-Led,Flexible Seating,"Applied Learning, Health & Sports","Character Education, Health & Wellness",1085
3787445,Teacher-Led,Technology,Health & Sports,"Health & Wellness, Team Sports",1086
3792968,Teacher-Led,Supplies,Applied Learning,"Character Education, Other",1087
3793012,Teacher-Led,Books,"Math & Science, Applied Learning","Applied Sciences, Other",1088
3794251,Teacher-Led,Instructional Technology,Literacy & Language,"Literacy, Literature & Writing",1089
3794356,Teacher-Led,Other,"Literacy & Language, Applied Learning","Literacy, Other",1090
3794357,Teacher-Led,Other,"Applied Learning, Literacy & Language","Early Development, Literacy",1091
3794465,Teacher-Led,Technology,"Literacy & Language, Applied Learning","Literacy, Other",1092
3796090,Teacher-Led,Technology,"Literacy & Language, Music & The Arts","Literacy, Music",1093
3796288,Teacher-Led,Supplies,Math & Science,Environmental Science,1094
3798207,Teacher-Led,Other,"History & Civics, Literacy & Language","History & Geography, Literature & Writing",1095
3798946,Teacher-Led,Supplies,"Math & Science, Literacy & Language","Environmental Science, Literacy",1096
3798947,Teacher-Led,Technology,"History & Civics, Literacy & Language","History & Geography, Literacy",1097
3799631,Teacher-Led,Trips,History & Civics,History & Geography,1098
3800709,Teacher-Led,Educational Kits & Games,"Literacy & Language, Special Needs","Literature & Writing, Special Needs",1099
3806027,Teacher-Led,Supplies,"Math & Science, Music & The Arts","Environmental Science, Visual Arts",1100
3807104,Teacher-Led,Technology,"Math & Science, Music & The Arts","Health & Life Science, Visual Arts",1101
3807986,Teacher-Led,Other,"Applied Learning, Literacy & Language","Early Development, Literature & Writing",1102
3809362,Teacher-Led,Books,"Literacy & Language, Applied Learning","Literacy, Parent Involvement",1103
3811389,Teacher-Led,Educational Kits & Games,"Math & Science, Applied Learning","Applied Sciences, College & Career Prep",1104
3814383,Teacher-Led,Books,"Math & Science, Literacy & Language","Environmental Science, Literature & Writing",1105
3816355,Teacher-Led,Supplies,Health & Sports,"Health & Wellness, Team Sports",1106
3819387,Teacher-Led,Supplies,"Applied Learning, Literacy & Language","Extracurricular, Literacy",1107
3820615,Teacher-Led,Technology,Math & Science,"Health & Life Science, Mathematics",1108
3821389,Teacher-Led,Other,Music & The Arts,Visual Arts,1109
3824212,Teacher-Led,Supplies,"Applied Learning, Music & The Arts","Extracurricular, Music",1110
3834548,Professional Development,Trips,Math & Science,Mathematics,1111
3835700,Teacher-Led,Technology,"Math & Science, Special Needs","Mathematics, Special Needs",1112
3837671,Teacher-Led,Trips,"Applied Learning, Health & Sports","Character Education, Health & Wellness",1113
3838621,Teacher-Led,Other,"Literacy & Language, Special Needs","Literature & Writing, Special Needs",1114
3839565,Teacher-Led,Supplies,"Applied Learning, Health & Sports","Character Education, Team Sports",1115
3841026,Teacher-Led,Supplies,Music & The Arts,"Music, Visual Arts",1116
3841121,Teacher-Led,Technology,"Math & Science, Literacy & Language","Environmental Science, Literature & Writing",1117
3841359,Teacher-Led,Computers & Tablets,"Literacy & Language, Math & Science","Literacy, Mathematics",1118
3842249,Teacher-Led,Technology,Applied Learning,Other,1119
3845540,Teacher-Led,Computers & Tablets,Special Needs,Special Needs,1120
3847130,Teacher-Led,Supplies,Literacy & Language,Foreign Languages,1121
3848795,Teacher-Led,Supplies,Math & Science,Health & Life Science,1122
3848797,Teacher-Led,Musical Instruments,Music & The Arts,"Music, Performing Arts",1123
3849870,Teacher-Led,Supplies,Music & The Arts,Music,1124
3850318,Teacher-Led,Supplies,"Applied Learning, Literacy & Language","Early Development, Literature & Writing",1125
3850910,Teacher-Led,Technology,"Applied Learning, Literacy & Language","Community Service, Literacy",1126
3854466,Teacher-Led,Other,Applied Learning,"Character Education, Extracurricular",1127
3857289,Teacher-Led,Sports & Exercise Equipment,Health & Sports,Team Sports,1128
3858047,Teacher-Led,Other,"Applied Learning, Special Needs","Early Development, Special Needs",1129
3858634,Teacher-Led,Classroom Basics,"Literacy & Language, Math & Science","Literacy, Mathematics",1130
3858887,Professional Development,Trips,"Applied Learning, Health & Sports","Character Education, Health & Wellness",1131
3859553,Teacher-Led,Computers & Tablets,Literacy & Language,"ESL, Literacy",1132
3862663,Teacher-Led,Technology,"Math & Science, Music & The Arts","Mathematics, Music",1133
3862868,Professional Development,Trips,Music & The Arts,"Music, Performing Arts",1134
3865862,Teacher-Led,Technology,"Literacy & Language, Music & The Arts","Literature & Writing, Performing Arts",1135
3866246,Teacher-Led,"Food, Clothing & Hygiene","Applied Learning, Music & The Arts","Extracurricular, Visual Arts",1136
3868608,Teacher-Led,Flexible Seating,"Music & The Arts, Special Needs","Music, Special Needs",1137
3868931,Teacher-Led,Technology,"History & Civics, Literacy & Language","History & Geography, Literature & Writing",1138
3870370,Teacher-Led,Books,Music & The Arts,Music,1139
3871047,Teacher-Led,Books,"Literacy & Language, Music & The Arts","Literacy, Visual Arts",1140
3871446,Teacher-Led,Supplies,"Math & Science, Applied Learning","Mathematics, Other",1141
3873069,Teacher-Led,Technology,"Applied Learning, Math & Science","Character Education, Environmental Science",1142
3873607,Teacher-Led,Supplies,"Applied Learning, Math & Science","Early Development, Environmental Science",1143
3881411,Teacher-Led,Supplies,"Applied Learning, Special Needs","Early Development, Special Needs",1144
3882481,Teacher-Led,Supplies,"History & Civics, Literacy & Language","Civics & Government, Literature & Writing",1145
3884729,Teacher-Led,Technology,Applied Learning,"College & Career Prep, Other",1146
3885930,Teacher-Led,Supplies,"Math & Science, History & Civics","Mathematics, Social Sciences",1147
3886993,Teacher-Led,Flexible Seating,Health & Sports,Gym & Fitness,1148
3886994,Teacher-Led,Computers & Tablets,Literacy & Language,Literacy,1149
3886995,Teacher-Led,Sports & Exercise Equipment,Health & Sports,Gym & Fitness,1150
3886996,Teacher-Led,Sports & Exercise Equipment,Health & Sports,"Gym & Fitness, Health & Wellness",1151
3888294,Teacher-Led,Other,Math & Science,"Environmental Science, Health & Life Science",1152
3889050,Teacher-Led,Technology,"History & Civics, Literacy & Language","Civics & Government, Literature & Writing",1153
3889052,Teacher-Led,Technology,Literacy & Language,"Foreign Languages, Literacy",1154
3889482,Teacher-Led,Supplies,"History & Civics, Music & The Arts","Social Sciences, Visual Arts",1155
3889528,Teacher-Led,Other,Health & Sports,Team Sports,1156
3890667,Teacher-Led,Instructional Technology,"Literacy & Language, Math & Science","Literacy, Mathematics",1157
3891066,Teacher-Led,"Reading Nooks, Desks & Storage","History & Civics, Literacy & Language","History & Geography, Literacy",1158
3891721,Teacher-Led,Other,Math & Science,Mathematics,1159
3894519,Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",1160
3895349,Teacher-Led,"Food, Clothing & Hygiene",Music & The Arts,Performing Arts,1161
3899313,Teacher-Led,Technology,"Math & Science, Literacy & Language","Applied Sciences, ESL",1162
3899413,Teacher-Led,Lab Equipment,"Math & Science, Health & Sports","Health & Life Science, Nutrition Education",1163
3903395,Teacher-Led,Technology,Music & The Arts,Music,1164
3904934,Teacher-Led,Visitors,Music & The Arts,"Music, Visual Arts",1165
3906833,Teacher-Led,Computers & Tablets,Math & Science,"Applied Sciences, Environmental Science",1166
3908495,Teacher-Led,Technology,"Applied Learning, Math & Science","Extracurricular, Mathematics",1167
3910170,Teacher-Led,Instructional Technology,Math & Science,"Applied Sciences, Mathematics",1168
3911268,Teacher-Led,Computers & Tablets,"Literacy & Language, Special Needs","Literacy, Special Needs",1169
3913226,Teacher-Led,Supplies,"Literacy & Language, Applied Learning","Literacy, Other",1170
3913689,Teacher-Led,Supplies,"Applied Learning, Special Needs","Other, Special Needs",1171
3914372,Teacher-Led,Visitors,Music & The Arts,"Music, Performing Arts",1172
3915172,Teacher-Led,Instructional Technology,Applied Learning,Early Development,1173
3915549,Teacher-Led,Technology,"Math & Science, Applied Learning","Applied Sciences, College & Career Prep",1174
3916694,Teacher-Led,Computers & Tablets,Literacy & Language,"ESL, Literature & Writing",1175
3919635,Teacher-Led,Books,Math & Science,Health & Life Science,1176
3923179,Teacher-Led,Technology,Applied Learning,"Extracurricular, Parent Involvement",1177
3923706,Teacher-Led,Supplies,"Health & Sports, Special Needs","Health & Wellness, Special Needs",1178
3924657,Teacher-Led,Computers & Tablets,Math & Science,Mathematics,1179
3926095,Teacher-Led,Technology,"Applied Learning, Literacy & Language","College & Career Prep, Literacy",1180
3930659,Teacher-Led,"Food, Clothing & Hygiene","Warmth, Care & Hunger","Warmth, Care & Hunger",1181
3930900,Teacher-Led,Technology,Applied Learning,College & Career Prep,1182
3933530,Teacher-Led,Supplies,"Applied Learning, Music & The Arts","College & Career Prep, Visual Arts",1183
3933570,Teacher-Led,Other,Literacy & Language,"Literacy, Literature & Writing",1184
3933620,Teacher-Led,Supplies,Math & Science,"Applied Sciences, Mathematics",1185
3933943,Teacher-Led,Supplies,Music & The Arts,"Music, Performing Arts",1186
3934514,Teacher-Led,Supplies,Literacy & Language,"ESL, Literacy",1187
3934579,Teacher-Led,Supplies,"Applied Learning, Health & Sports","Character Education, Gym & Fitness",1188
3935146,Teacher-Led,Instructional Technology,Math & Science,Mathematics,1189
3935548,Teacher-Led,Technology,Math & Science,"Applied Sciences, Health & Life Science",1190
3941484,Teacher-Led,Supplies,"Math & Science, Health & Sports","Health & Life Science, Health & Wellness",1191
3942117,Teacher-Led,Computers & Tablets,History & Civics,"Civics & Government, Economics",1192
3944004,Teacher-Led,Technology,Math & Science,"Environmental Science, Health & Life Science",1193
3944005,Teacher-Led,Technology,Literacy & Language,Literacy,1194
3945289,Teacher-Led,Books,"History & Civics, Literacy & Language","Civics & Government, Literacy",1195
3945336,Teacher-Led,Instructional Technology,"Literacy & Language, History & Civics","ESL, Social Sciences",1196
3945804,Teacher-Led,Technology,"Literacy & Language, Music & The Arts","Literature & Writing, Music",1197
3945809,Teacher-Led,Supplies,"Math & Science, Special Needs","Health & Life Science, Special Needs",1198
3946042,Teacher-Led,Classroom Basics,History & Civics,"Civics & Government, Social Sciences",1199
3948735,Teacher-Led,Technology,Music & The Arts,Performing Arts,1200
3950538,Teacher-Led,Technology,Literacy & Language,"ESL, Literacy",1201
3950947,Teacher-Led,Other,"Math & Science, History & Civics","Environmental Science, History & Geography",1202
3952720,Teacher-Led,Books,History & Civics,"History & Geography, Social Sciences",1203
3952888,Teacher-Led,Technology,Math & Science,Applied Sciences,1204
3954359,Teacher-Led,Technology,"Literacy & Language, Special Needs","Literacy, Special Needs",1205
3956278,Teacher-Led,Technology,"Math & Science, Music & The Arts","Applied Sciences, Visual Arts",1206
3957511,Teacher-Led,Books,"History & Civics, Literacy & Language","History & Geography, Literature & Writing",1207
3960378,Teacher-Led,Technology,Special Needs,Special Needs,1208
3963716,Student-Led,Supplies,Health & Sports,"Gym & Fitness, Health & Wellness",1209
3963727,Teacher-Led,Other,"Applied Learning, Special Needs","Extracurricular, Special Needs",1210
3965713,Teacher-Led,Trips,Math & Science,Environmental Science,1211
3967708,Teacher-Led,Supplies,"Math & Science, Music & The Arts","Applied Sciences, Visual Arts",1212
3967905,Teacher-Led,Technology,"Math & Science, Special Needs","Health & Life Science, Special Needs",1213
3968549,Teacher-Led,Other,"Applied Learning, Health & Sports","Extracurricular, Nutrition Education",1214
3968562,Teacher-Led,Supplies,"Applied Learning, Special Needs","Character Education, Special Needs",1215
3968564,Teacher-Led,Supplies,"Warmth, Care & Hunger","Warmth, Care & Hunger",1216
3969744,Teacher-Led,Technology,"History & Civics, Special Needs","Social Sciences, Special Needs",1217
3971427,Teacher-Led,Books,"Literacy & Language, History & Civics","Literature & Writing, Social Sciences",1218
3972388,Teacher-Led,Supplies,"Literacy & Language, Special Needs","Literacy, Special Needs",1219
3975787,Teacher-Led,Supplies,Math & Science,"Environmental Science, Mathematics",1220
3976090,Teacher-Led,Art Supplies,Music & The Arts,Visual Arts,1221
3977370,Teacher-Led,Flexible Seating,Health & Sports,Health & Wellness,1222
3977485,Teacher-Led,Books,"Warmth, Care & Hunger","Warmth, Care & Hunger",1223
3980065,Teacher-Led,Technology,"Applied Learning, Special Needs","Early Development, Special Needs",1224
3981261,Teacher-Led,Supplies,"Applied Learning, Math & Science","Early Development, Mathematics",1225
3981290,Teacher-Led,Other,Literacy & Language,Literacy,1226
3983238,Teacher-Led,Supplies,Health & Sports,Team Sports,1227
3986453,Teacher-Led,Flexible Seating,"Literacy & Language, Math & Science","Literacy, Mathematics",1228
3986982,Teacher-Led,Supplies,"Special Needs, Music & The Arts","Special Needs, Visual Arts",1229
3987428,Teacher-Led,Visitors,"Applied Learning, Math & Science","Community Service, Environmental Science",1230
3987827,Teacher-Led,Supplies,"Applied Learning, Music & The Arts","Extracurricular, Visual Arts",1231
3988645,Teacher-Led,Supplies,"Music & The Arts, History & Civics","Performing Arts, Social Sciences",1232
3989745,Teacher-Led,Supplies,"History & Civics, Math & Science","History & Geography, Mathematics",1233
3989864,Teacher-Led,Other,"Math & Science, Special Needs","Environmental Science, Special Needs",1234
3990265,Teacher-Led,Supplies,Math & Science,Applied Sciences,1235
3990793,Teacher-Led,Supplies,"Math & Science, Health & Sports","Applied Sciences, Health & Wellness",1236
3992896,Teacher-Led,Supplies,Math & Science,"Environmental Science, Health & Life Science",1237
3997786,Teacher-Led,Technology,Music & The Arts,"Performing Arts, Visual Arts",1238
3998998,Teacher-Led,Books,Special Needs,Special Needs,1239
3999362,Teacher-Led,Supplies,"Applied Learning, Health & Sports","Extracurricular, Health & Wellness",1240
4000862,Teacher-Led,Technology,Math & Science,"Environmental Science, Mathematics",1241
4001065,Teacher-Led,Books,"Literacy & Language, History & Civics","ESL, History & Geography",1242
4001297,Teacher-Led,Supplies,Music & The Arts,Visual Arts,1243
4002832,Teacher-Led,Supplies,Applied Learning,Other,1244
4002848,Teacher-Led,Technology,"Math & Science, Literacy & Language","Environmental Science, Literacy",1245
4003526,Teacher-Led,Supplies,Literacy & Language,"Literacy, Literature & Writing",1246
4004484,Teacher-Led,Technology,"Literacy & Language, History & Civics","Literature & Writing, Social Sciences",1247
4004525,Teacher-Led,Technology,Math & Science,Mathematics,1248
4006357,Teacher-Led,Supplies,Math & Science,"Applied Sciences, Health & Life Science",1249
4006608,Teacher-Led,Supplies,"History & Civics, Music & The Arts","History & Geography, Visual Arts",1250
4011078,Teacher-Led,"Reading Nooks, Desks & Storage",Math & Science,Mathematics,1251
4011412,Teacher-Led,Technology,Math & Science,"Applied Sciences, Environmental Science",1252
4011489,Teacher-Led,Technology,"Literacy & Language, Special Needs","Literature & Writing, Special Needs",1253
4011498,Teacher-Led,Technology,Literacy & Language,"ESL, Literature & Writing",1254
4012628,Teacher-Led,Supplies,"Literacy & Language, Music & The Arts","Literature & Writing, Visual Arts",1255
4013190,Teacher-Led,Supplies,"Literacy & Language, Music & The Arts","Literacy, Visual Arts",1256
4015330,Teacher-Led,Art Supplies,"Math & Science, Literacy & Language","Applied Sciences, Literacy",1257
4016087,Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics",1258
4016287,Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing",1259
4016964,Teacher-Led,Books,"Literacy & Language, Special Needs","Literature & Writing, Special Needs",1260
4016969,Teacher-Led,Books,"Literacy & Language, History & Civics","Literacy, Social Sciences",1261
4017064,Teacher-Led,Computers & Tablets,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",1262
4017946,Teacher-Led,Other,Literacy & Language,"ESL, Literacy",1263
4020298,Teacher-Led,Supplies,"Literacy & Language, Special Needs","Literature & Writing, Special Needs",1264
4020994,Teacher-Led,Books,"History & Civics, Literacy & Language","History & Geography, Literacy",1265
4021868,Teacher-Led,Books,Literacy & Language,Literature & Writing,1266
4022045,Teacher-Led,Technology,Math & Science,"Applied Sciences, Mathematics",1267
4022216,Teacher-Led,Technology,Health & Sports,Team Sports,1268
4022707,Teacher-Led,Trips,"Math & Science, Literacy & Language","Health & Life Science, Literature & Writing",1269
4024839,Teacher-Led,"Reading Nooks, Desks & Storage",Applied Learning,Other,1270
4025764,Teacher-Led,Books,"Literacy & Language, Math & Science","Literacy, Mathematics",1271
4025997,Teacher-Led,Supplies,"Applied Learning, Health & Sports","Early Development, Health & Wellness",1272
4026289,Teacher-Led,Other,"Literacy & Language, Math & Science","Literacy, Mathematics",1273
4026953,Teacher-Led,Books,Literacy & Language,"ESL, Literacy",1274
4026961,Teacher-Led,Supplies,Literacy & Language,Literature & Writing,1275
4028693,Teacher-Led,Technology,"Math & Science, Literacy & Language","Health & Life Science, Literacy",1276
4029230,Teacher-Led,Computers & Tablets,Math & Science,"Applied Sciences, Mathematics",1277
4029639,Teacher-Led,Technology,"Literacy & Language, Math & Science","Literacy, Mathematics",1278
4029759,Teacher-Led,Classroom Basics,Literacy & Language,"Literacy, Literature & Writing",1279
4030567,Teacher-Led,Technology,"Math & Science, Literacy & Language","Applied Sciences, Literature & Writing",1280
4031316,Student-Led,Supplies,Math & Science,"Applied Sciences, Mathematics",1281
